,estacao,endereco,linha,linhaID,latitude,longitude
19, Itapevi,"R. João Pires de Oliveira, 51 – Nova Itapevi",Linha 8-Diamante,8,-23.5455757,-46.935272
20, Santa Rita,"Jardim Portela, Itapevi",Linha 8-Diamante,8,-23.6768372,-46.6577855
21, Cimenrita,"Jardim Portela, Itapevi",Linha 8-Diamante,8,-23.5557714,-46.6395571
22, Ambuitá,"Amador Bueno, Itapevi",Linha 8-Diamante,8,-23.5557714,-46.6395571
23, Amador Bueno,"jardim Santo Antônio, Itapevi",Linha 8-Diamante,8,-21.2922457,-50.3428431
24, Brás,Rua Domingos Paiva – Brás,Linha 7-Rubi,7,-23.54498,-46.61647
25, Luz,"Praça da Luz, nº 1- Bom Retiro",Linha 7-Rubi,7,-23.5364643,-46.63427069999999
26, Palmeiras Barra Funda,"Avenida Auro Soares de Moura Andrade, 664 (Barra Funda)",Linha 7-Rubi,7,-23.5254689,-46.66742
27, Água Branca,Avenida Santa Marina- Água Branca,Linha 7-Rubi,7,-23.5213685,-46.6884536
28, Lapa,"Rua William Speers, nº 863",Linha 7-Rubi,7,-23.520327,-46.69895409999999
29, Piqueri,Rua José Peres Campelo – Piqueri,Linha 7-Rubi,7,-23.5040082,-46.7148214
30, Pirituba,Rua Camarões- (Chácara Inglesa),Linha 7-Rubi,7,-23.4879787,-46.7263063
31, Vila Clarice,Praça Comendador Souza Cruz – Jaraguá,Linha 7-Rubi,7,-23.4700742,-46.7443274
32, Jaguará,"Estrada de Taipas, s/nº – Jaraguá",Linha 7-Rubi,7,-23.5460318,-46.7327301
33, Vila Aurora,"Rua Francisco da Cunha Menezes, 1066 – Jardim Santa Lucrécia",Linha 7-Rubi,7,-23.4376329,-46.74730719999999
34, Perus,Avenida Dr. Silvio de Campos-(Vila Perus),Linha 7-Rubi,7,-23.4051059,-46.7535404
35, Caieiras,"Rodovia Tancredo de Almeida Neves, Km 34 – Centro – Caieiras",Linha 7-Rubi,7,-23.5347679,-46.6322039
36, Franco Da Rocha,"Rua Cavalheiro Ângelo Sestini, 200 (Vila Artur Sestini",Linha 7-Rubi,7,-23.3279532,-46.7244016
37, Baltazar Fidélis,"Avenida Israel, s/nº (Vila Bela)/ Estrada da Paradinha,",Linha 7-Rubi,7,-23.3100596,-46.7238245
38, Francisco Morato,"Rua Gerônimo Caetano Garcia, s/nº",Linha 7-Rubi,7,-23.2825755,-46.74226729999999
39, Botujuru,"Rua Bela Vista, s/nº (Botujuru)",Linha 7-Rubi,7,-23.2361608,-46.7675031
40, Campo Limpo Paulista,"Rua Felícia Pereira Pinto, s/nº (Vila Thomazina)",Linha 7-Rubi,7,-23.2062325,-46.7850185
41, Várzea Paulista,"Rua Antônio Feres Sada, s/nº",Linha 7-Rubi,7,-23.2090173,-46.829257
42, Jundiaí,Avenida União dos Ferroviários s/nº – Ponte de Campinas,Linha 7-Rubi,7,-23.1856528,-46.8892222
43, Osasco,Centro-Osasco,Linha 9-Esmeralda,9,-23.5318198,-46.7916315
44, Presidente Altino,"Industrial Autonomistas, Osasco",Linha 9-Esmeralda,9,-23.53124,-46.7618
45, Ceasa,"Vila Leopoldina, São Paulo",Linha 9-Esmeralda,9,-23.5373938,-46.7426148
46, Villa-Lobos Jaguaré,"Vila Hamburguesa, São Paulo",Linha 9-Esmeralda,9,-23.5460318,-46.7327301
47, Cidade Universitária,"Av. das Nações Unidas, 6200 – Pinheiros",Linha 9-Esmeralda,9,-23.55709,-46.7114872
48, Pinheiros,"R. Capri, 145 – Pinheiros",Linha 9-Esmeralda,9,-23.56736,-46.70203
49, Hebraica-Rebouças,R. Ofélia – Pinheiros,Linha 9-Esmeralda,9,-23.5730928,-46.6981184
50, Cidade Jardim,"R. Prof. Artur Ramos, 787 – Jardim Paulistano",Linha 9-Esmeralda,9,-23.5853452,-46.6911446
51, Vila Olímpia,"Marginal Pinheiros, 7522 – Pinheiros",Linha 9-Esmeralda,9,-23.5936324,-46.6920311
52, Berrini,"Jardim Panorama, São Paulo",Linha 9-Esmeralda,9,-23.60495,-46.69615
53, Morumbi,"Avenida das Nações Unidas, 14.171 – Vila Gertrudes",Linha 9-Esmeralda,9,-23.6220006,-46.70111499999999
54, Granja Julieta,"Retiro Morumbi, São Paulo",Linha 9-Esmeralda,9,-23.6275297,-46.7119241
55, Santo Amaro,"Av. Guido Caloi, 2221 – Santo Amaro",Linha 9-Esmeralda,9,-23.65612,-46.71925
56, Socorro,Largo do Socorro – Jardim São Luís,Linha 9-Esmeralda,9,-23.6635297,-46.7108473
57, Jurubatuba,"Jurubatuba, São Paulo",Linha 9-Esmeralda,9,-23.6773149,-46.7021682
58, Autódromo,"Interlagos, São Paulo",Linha 9-Esmeralda,9,-23.70628,-46.68842
59, Primavera-Interlagos,"Parque Alto do Rio Bonito, São Paulo",Linha 9-Esmeralda,9,-23.72267,-46.69179
60, Grajaú,"Parque Alto do Rio Bonito, São Paulo",Linha 9-Esmeralda,9,-23.7365015,-46.6970085
61, Brás,​​Rua Domingos Paiva s/nº – Brás,Linha 10-Turquesa,10,-23.54498,-46.61647
62, Juventus Mooca,"Avenida Presidente Wilson, 483",Linha 10-Turquesa,10,-23.5581523,-46.6084439
63, Ipiranga,"Avenida Presidente Wilson, 3.473 (Vila Independência)",Linha 10-Turquesa,10,-23.5824985,-46.5966362
64, Tamanduateí,"Rua Guamiranga, 600",Linha 10-Turquesa,10,-23.5927572,-46.58945
65, São Caetano Do Sul,"Rua Serafim Constantino, 51",Linha 10-Turquesa,10,-23.6164434,-46.567958
66, Utinga,Avenida da Paz-Utinga,Linha 10-Turquesa,10,-23.6262082,-46.54415729999999
